Product Name,Price,Locations,description
"

                            Brand New & Unlocked iPhone-11 ProMax,11-Pro & iPhone-11 & SE-2
                        
","
                        
                            
                            
                                
                                
                                    $550.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            Oshawa / Durham Region
                          
< 21 hours ago
","
                        We're selling following Brand New & Unlocked iPhone-11 & SE-2 phones; iPhone SE-2nd Gen, 64GB (New) With Charger only in $550 ----------------------------------- iPhone SE-2nd Gen, 128GB (New) With ...
                        
                            
                            
                            
                        

                        

                        

"
"

                            Wanted:
                            PHONES for CASH!
                        
","
                        
                            
                            
                                
                                
                                    $77,777.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                    




","

                            
                            Mississauga / Peel Region
                          
27/08/2020
","
                        iPhone SE 6s 7 8 X XR Xs 11 Pro Max Plus 64GB 256GB 128GB 32GB 512GB Samsung s9 s10 S20 Ultra + Note 9 10 Huawei P20 P30 LG G8 OnePlus 6T 7T Motorola Z4 One Blackberry Key2 LE Flip Galaxy 2 3 4 XL 3a ...
                        
                            
                            
                            
                        

                        

                        

"
"

                            iPhone 11 purple
                        
","
                        
                            
                            
                                
                                
                                    $800.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            City of Toronto
                          
05/09/2020
","
                        Mint condition iPhone 11 only problem is that it’s iCloud locked. You can go get it unlocked. Reason of sellin is I don’t need it
                        
                            
                            
                            
                        

                        

                        

"
"

                            Wanted:
                            I will BUY your PHONE for Cash Today!
                        
","
                        
                            
                            
                                
                                
                                    $7,777.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                    




","

                            
                            City of Toronto
                          
25/08/2020
","
                        iPhone SE 6s 7 8 X XR Xs 11 Pro Max Plus 64GB 256GB 128GB 32GB 512GB 16GB Samsung s7 s8 s9 s10 S20 + Ultra A50 A70 A71 Note 9 10 iPad Pro Air Mini 10.5 12.9 11 Inch 2nd 3rd 4th 6th 7th Gen 2 3 3a XL ...
                        
                            
                            
                            
                        

                        

                        

"
"

                            iPhone 11 Pro Max 512 GB Space Grey
                        
","
                        
                            
                            
                                
                                
                                    $1,750.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            Hamilton
                          
01/09/2020
","
                        Barely used 100% mint iPhone unlocked with apple care. 512 GB Space Grey Comes with: Earphones, Charger, and Yellow Case
                        
                            
                            
                            
                        

                        

                        

"
"

                            BRAND NEW Samsung S10 PLUS 128GB Unlocked
                        
","
                        
                            
                            
                                
                                
                                    $780.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            Mississauga / Peel Region
                          
< 4 minutes ago
","
                        Call : 647-493-8425 (NO TEXT Please) The phone is sold by a business with over 10 years of experience ----------- *********** PAY CASH SAVE TAX *********** >>>>> Samsung Galaxy S10 PLUS - $780 ...
                        
                            
                            
                            
                        

                        

                        

"
"

                            iPhone 11 Pro Max - Brand New
                        
","
                        
                            
                            
                                
                                
                                    $1,275.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            Markham / York Region
                          
< 4 minutes ago
","
                        Price is Non-Negotiable - Pick up in Richmond Hill Brand New & Sealed iPhone 11 Pro Max 64GB - Midnight Green Unlocked
                        
                            
                            
                            
                        

                        

                        

"
"

                            I BUY IPHONE * 6 7 8 X XS XMAX XSMAX*  USAGE OU NEUF. 4388333932
                        
","
                        
                            
                            
                                
                                
                                    $6,900.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            City of Montréal
                          
< 7 minutes ago
","
                        ✅ ps4 xbox dyson v11 v10 Iphone 11 pro max x xs 64gb 128gb macbook playstation ps4 xbox imac pro air ipad samsung S9 note 9 s8 s7 s5 huwaei p20 pro lg g3 g4 g5 g7 ✅✅✅ (438) 8333 932 ✅✅✅ APEL ...
                        
                            
                            
                            
                        

                        

                        

"
"

                            Buying ✔✅ acheter IPHONE XR XMAX ✔ IPHONE 11 PRO ✔ SAMSUNG ✔ CAL
                        
","
                        
                            
                            
                                
                                
                                    $1,900.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            Laval / North Shore
                          
< 8 minutes ago
","
                        ✅ ps4 xbox dyson v11 v10 Iphone 11 pro max x xs 64gb 128gb macbook playstation ps4 xbox imac pro air ipad samsung S9 note 9 s8 s7 s5 huwaei p20 pro lg g3 g4 g5 g7 ✅✅✅ (438) 8333 932 ✅✅✅ APEL ...
                        
                            
                            
                            
                        

                        

                        

"
"

                            Selling iPhone 11 Pro Max grey 64 GB 
                        
","
                        
                            
                            
                                
                                
                                    $1,300.00
                                    
                                    
                                    
                                
                                
                            
                            

                            
                                
                                
                            
                        
                    ","

                            
                            Trenton
                          
< 22 minutes ago
","
                        Selling my iPhone 11 Pro Max 64 GB Black , Had It For 3 Weeks But Switched to new Android So Selling It ! Come With Everything, Asking 1,300$ O.B.O ...
                        
                            
                            
                            
                        

                        

                        

"
